machine,family,family_type,VCPUs,ram,local_ssd_support,local_ssd_enabled_by_default,local_ssd_default_size,cpu_platforms,gpu_support,gpu_count_by_default,default_gpu,default_network_bandwidth,tier1_network_bandwidth,nested_virtualization_support
a2-ultragpu-1g,a2,Accelerator-optimized,12,170,1,1,375,Cascade Lake,1,1,NVIDIA_A100_80GB,24,,0
a2-ultragpu-2g,a2,Accelerator-optimized,24,340,1,1,750,Cascade Lake,1,2,NVIDIA_A100_80GB,32,,0
a2-ultragpu-4g,a2,Accelerator-optimized,48,680,1,1,1500,Cascade Lake,1,4,NVIDIA_A100_80GB,50,,0
a2-ultragpu-8g,a2,Accelerator-optimized,96,1360,1,1,3000,Cascade Lake,1,8,NVIDIA_A100_80GB,100,,0
a2-highgpu-1g,a2,Accelerator-optimized,12,85,1,0,,Cascade Lake,1,1,NVIDIA_A100_40GB,24,,0
a2-highgpu-2g,a2,Accelerator-optimized,24,170,1,0,,Cascade Lake,1,2,NVIDIA_A100_40GB,32,,0
a2-highgpu-4g,a2,Accelerator-optimized,48,340,1,0,,Cascade Lake,1,4,NVIDIA_A100_40GB,50,,0
a2-highgpu-8g,a2,Accelerator-optimized,96,680,1,0,,Cascade Lake,1,8,NVIDIA_A100_40GB,100,,0
a2-megagpu-16g,a2,Accelerator-optimized,96,1360,1,0,,Cascade Lake,1,16,NVIDIA_A100_40GB,100,,0
a3-megagpu-8g,a3,Accelerator-optimized,208,1872,1,1,6000,Sapphire Rapids,1,8,NVIDIA_H100_80GB,1800,,0
a3-highgpu-1g,a3,Accelerator-optimized,26,234,1,1,750,Sapphire Rapids,1,1,NVIDIA_H100_80GB,25,,0
a3-highgpu-2g,a3,Accelerator-optimized,52,468,1,1,1500,Sapphire Rapids,1,2,NVIDIA_H100_80GB,50,,0
a3-highgpu-4g,a3,Accelerator-optimized,104,936,1,1,3000,Sapphire Rapids,1,4,NVIDIA_H100_80GB,100,,0
a3-highgpu-8g,a3,Accelerator-optimized,208,1872,1,1,6000,Sapphire Rapids,1,8,NVIDIA_H100_80GB,800,,0
a3-edgegpu-8g,a3,Accelerator-optimized,208,1872,1,1,6000,Sapphire Rapids,1,8,NVIDIA_H100_80GB,400,,0
g2-standard-4,g2,Accelerator-optimized,4,16,1,0,,Cascade Lake,1,1,NVIDIA_L4,10,,0
g2-standard-8,g2,Accelerator-optimized,8,32,1,0,,Cascade Lake,1,1,NVIDIA_L4,16,,0
g2-standard-12,g2,Accelerator-optimized,12,48,1,0,,Cascade Lake,1,1,NVIDIA_L4,16,,0
g2-standard-16,g2,Accelerator-optimized,16,64,1,0,,Cascade Lake,1,1,NVIDIA_L4,32,,0
g2-standard-24,g2,Accelerator-optimized,24,96,1,0,,Cascade Lake,1,2,NVIDIA_L4,32,,0
g2-standard-32,g2,Accelerator-optimized,32,128,1,0,,Cascade Lake,1,1,NVIDIA_L4,32,,0
g2-standard-48,g2,Accelerator-optimized,48,192,1,0,,Cascade Lake,1,4,NVIDIA_L4,50,,0
g2-standard-96,g2,Accelerator-optimized,96,384,1,0,,Cascade Lake,1,8,NVIDIA_L4,100,,0
