machine,family,family_type,VCPUs,ram,local_ssd_support,local_ssd_enabled_by_default,local_ssd_default_size,cpu_platforms,gpu_support,gpu_count_by_default,default_gpu,default_network_bandwidth,tier1_network_bandwidth,nested_virtualization_support
h3-standard-88,h3,Compute Optimized,88,352,0,0,,"Sapphire Rapids",0,0,,200,,1
c2d-standard-2,c2d,Compute Optimized,2,8,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-standard-4,c2d,Compute Optimized,4,16,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-standard-8,c2d,Compute Optimized,8,32,1,0,,"AMD EPYC Milan",0,0,,16,,0
c2d-standard-16,c2d,Compute Optimized,16,64,1,0,,"AMD EPYC Milan",0,0,,32,,0
c2d-standard-32,c2d,Compute Optimized,32,128,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-standard-56,c2d,Compute Optimized,56,224,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-standard-112,c2d,Compute Optimized,112,448,1,0,,"AMD EPYC Milan",0,0,,32,100,0
c2d-highcpu-2,c2d,Compute Optimized,2,4,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-highcpu-4,c2d,Compute Optimized,4,8,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-highcpu-8,c2d,Compute Optimized,8,16,1,0,,"AMD EPYC Milan",0,0,,16,,0
c2d-highcpu-16,c2d,Compute Optimized,16,32,1,0,,"AMD EPYC Milan",0,0,,32,,0
c2d-highcpu-32,c2d,Compute Optimized,32,64,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-highcpu-56,c2d,Compute Optimized,56,112,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-highcpu-112,c2d,Compute Optimized,112,224,1,0,,"AMD EPYC Milan",0,0,,32,100,0
c2d-highmem-2,c2d,Compute Optimized,2,16,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-highmem-4,c2d,Compute Optimized,4,32,1,0,,"AMD EPYC Milan",0,0,,10,,0
c2d-highmem-8,c2d,Compute Optimized,8,64,1,0,,"AMD EPYC Milan",0,0,,16,,0
c2d-highmem-16,c2d,Compute Optimized,16,128,1,0,,"AMD EPYC Milan",0,0,,32,,0
c2d-highmem-32,c2d,Compute Optimized,32,256,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-highmem-56,c2d,Compute Optimized,56,448,1,0,,"AMD EPYC Milan",0,0,,32,50,0
c2d-highmem-112,c2d,Compute Optimized,112,896,1,0,,"AMD EPYC Milan",0,0,,32,100,0
c2-standard-4,c2,Compute Optimized,4,16,1,0,,"Intel Cascade Lake",0,0,,10,,0
c2-standard-8,c2,Compute Optimized,8,32,1,0,,"Intel Cascade Lake",0,0,,16,,0
c2-standard-16,c2,Compute Optimized,16,64,1,0,,"Intel Cascade Lake",0,0,,32,,0
c2-standard-30,c2,Compute Optimized,30,120,1,0,,"Intel Cascade Lake",0,0,,32,50,0
c2-standard-60,c2,Compute Optimized,60,240,1,0,,"Intel Cascade Lake",0,0,,32,100,0
