machine,family,family_type,VCPUs,ram,local_ssd_support,local_ssd_enabled_by_default,local_ssd_default_size,cpu_platforms,gpu_support,gpu_count_by_default,default_gpu,default_network_bandwidth,tier1_network_bandwidth,nested_virtualization_support
c4a-standard-1,c4a,General purpose,1,4,0,0,,Google Axion,0,0,,10,,0
c4a-standard-2,c4a,General purpose,2,8,0,0,,Google Axion,0,0,,10,,0
c4a-standard-4,c4a,General purpose,4,16,0,0,,Google Axion,0,0,,23,,0
c4a-standard-8,c4a,General purpose,8,32,0,0,,Google Axion,0,0,,23,,0
c4a-standard-16,c4a,General purpose,16,64,0,0,,Google Axion,0,0,,23,,0
c4a-standard-32,c4a,General purpose,32,128,0,0,,Google Axion,0,0,,23,50,0
c4a-standard-48,c4a,General purpose,48,192,0,0,,Google Axion,0,0,,10,50,0
c4a-standard-64,c4a,General purpose,64,256,0,0,,Google Axion,0,0,,10,75,0
c4a-standard-72,c4a,General purpose,72,288,0,0,,Google Axion,0,0,,10,100,0
c4a-highcpu-1,c4a,General purpose,1,2,0,0,,Google Axion,0,0,,10,,0
c4a-highcpu-2,c4a,General purpose,2,4,0,0,,Google Axion,0,0,,10,,0
c4a-highcpu-4,c4a,General purpose,4,8,0,0,,Google Axion,0,0,,23,,0
c4a-highcpu-8,c4a,General purpose,8,16,0,0,,Google Axion,0,0,,23,,0
c4a-highcpu-16,c4a,General purpose,16,32,0,0,,Google Axion,0,0,,23,,0
c4a-highcpu-32,c4a,General purpose,32,64,0,0,,Google Axion,0,0,,23,50,0
c4a-highcpu-48,c4a,General purpose,48,96,0,0,,Google Axion,0,0,,10,50,0
c4a-highcpu-64,c4a,General purpose,64,128,0,0,,Google Axion,0,0,,10,75,0
c4a-highcpu-72,c4a,General purpose,72,144,0,0,,Google Axion,0,0,,10,100,0
c4a-highmem-1,c4a,General purpose,1,8,0,0,,Google Axion,0,0,,10,,0
c4a-highmem-2,c4a,General purpose,2,16,0,0,,Google Axion,0,0,,10,,0
c4a-highmem-4,c4a,General purpose,4,32,0,0,,Google Axion,0,0,,23,,0
c4a-highmem-8,c4a,General purpose,8,64,0,0,,Google Axion,0,0,,23,,0
c4a-highmem-16,c4a,General purpose,16,128,0,0,,Google Axion,0,0,,23,,0
c4a-highmem-32,c4a,General purpose,32,256,0,0,,Google Axion,0,0,,23,50,0
c4a-highmem-48,c4a,General purpose,48,384,0,0,,Google Axion,0,0,,10,50,0
c4a-highmem-64,c4a,General purpose,64,512,0,0,,Google Axion,0,0,,10,75,0
c4a-highmem-72,c4a,General purpose,72,576,0,0,,Google Axion,0,0,,10,100,0
c4-standard-2,c4,General purpose,2,7,0,0,,Emerald Rapids,0,0,,10,,1
c4-standard-4,c4,General purpose,4,15,0,0,,Emerald Rapids,0,0,,23,,1
c4-standard-8,c4,General purpose,8,30,0,0,,Emerald Rapids,0,0,,23,,1
c4-standard-16,c4,General purpose,16,60,0,0,,Emerald Rapids,0,0,,23,,1
c4-standard-32,c4,General purpose,32,120,0,0,,Emerald Rapids,0,0,,23,,1
c4-standard-48,c4,General purpose,48,180,0,0,,Emerald Rapids,0,0,,34,50,1
c4-standard-96,c4,General purpose,96,360,0,0,,Emerald Rapids,0,0,,67,100,1
c4-standard-192,c4,General purpose,192,720,0,0,,Emerald Rapids,0,0,,100,200,1
c4-highcpu-2,c4,General purpose,2,4,0,0,,Emerald Rapids,0,0,,10,,1
c4-highcpu-4,c4,General purpose,4,8,0,0,,Emerald Rapids,0,0,,23,,1
c4-highcpu-8,c4,General purpose,8,16,0,0,,Emerald Rapids,0,0,,23,,1
c4-highcpu-16,c4,General purpose,16,32,0,0,,Emerald Rapids,0,0,,23,,1
c4-highcpu-32,c4,General purpose,32,64,0,0,,Emerald Rapids,0,0,,23,,1
c4-highcpu-48,c4,General purpose,48,96,0,0,,Emerald Rapids,0,0,,34,25,1
c4-highcpu-96,c4,General purpose,96,192,0,0,,Emerald Rapids,0,0,,67,50,1
c4-highcpu-192,c4,General purpose,192,384,0,0,,Emerald Rapids,0,0,,100,200,1
c4-highmem-2,c4,General purpose,2,15,0,0,,Emerald Rapids,0,0,,10,,1
c4-highmem-4,c4,General purpose,4,31,0,0,,Emerald Rapids,0,0,,23,,1
c4-highmem-8,c4,General purpose,8,62,0,0,,Emerald Rapids,0,0,,23,,1
c4-highmem-16,c4,General purpose,16,124,0,0,,Emerald Rapids,0,0,,23,,1
c4-highmem-32,c4,General purpose,32,248,0,0,,Emerald Rapids,0,0,,23,,1
c4-highmem-48,c4,General purpose,48,372,0,0,,Emerald Rapids,0,0,,34,25,1
c4-highmem-96,c4,General purpose,96,744,0,0,,Emerald Rapids,0,0,,67,50,1
c4-highmem-192,c4,General purpose,192,1488,0,0,,Emerald Rapids,0,0,,100,200,1
n4-standard-2,n4,General purpose,2,8,0,0,,Emerald Rapids,0,0,,10,,1
n4-standard-4,n4,General purpose,4,16,0,0,,Emerald Rapids,0,0,,10,,1
n4-standard-8,n4,General purpose,8,32,0,0,,Emerald Rapids,0,0,,16,,1
n4-standard-16,n4,General purpose,16,64,0,0,,Emerald Rapids,0,0,,32,,1
n4-standard-32,n4,General purpose,32,128,0,0,,Emerald Rapids,0,0,,32,,1
n4-standard-48,n4,General purpose,48,192,0,0,,Emerald Rapids,0,0,,32,,1
n4-standard-64,n4,General purpose,64,256,0,0,,Emerald Rapids,0,0,,45,,1
n4-standard-80,n4,General purpose,80,320,0,0,,Emerald Rapids,0,0,,50,,1
n4-highcpu-2,n4,General purpose,2,4,0,0,,Emerald Rapids,0,0,,10,,1
n4-highcpu-4,n4,General purpose,4,8,0,0,,Emerald Rapids,0,0,,10,,1
n4-highcpu-8,n4,General purpose,8,16,0,0,,Emerald Rapids,0,0,,16,,1
n4-highcpu-16,n4,General purpose,16,32,0,0,,Emerald Rapids,0,0,,32,,1
n4-highcpu-32,n4,General purpose,32,64,0,0,,Emerald Rapids,0,0,,32,,1
n4-highcpu-48,n4,General purpose,48,96,0,0,,Emerald Rapids,0,0,,32,,1
n4-highcpu-64,n4,General purpose,64,128,0,0,,Emerald Rapids,0,0,,45,,1
n4-highcpu-80,n4,General purpose,80,160,0,0,,Emerald Rapids,0,0,,50,,1
n4-highmem-2,n4,General purpose,2,16,0,0,,Emerald Rapids,0,0,,10,,1
n4-highmem-4,n4,General purpose,4,32,0,0,,Emerald Rapids,0,0,,10,,1
n4-highmem-8,n4,General purpose,8,64,0,0,,Emerald Rapids,0,0,,16,,1
n4-highmem-16,n4,General purpose,16,128,0,0,,Emerald Rapids,0,0,,32,,1
n4-highmem-32,n4,General purpose,32,256,0,0,,Emerald Rapids,0,0,,32,,1
n4-highmem-48,n4,General purpose,48,384,0,0,,Emerald Rapids,0,0,,32,,1
n4-highmem-64,n4,General purpose,64,512,0,0,,Emerald Rapids,0,0,,45,,1
n4-highmem-80,n4,General purpose,80,640,0,0,,Emerald Rapids,0,0,,50,,1
c3d-standard-4,c3d,General purpose,4,16,0,0,,Genoa,0,0,,20,,1
c3d-standard-8,c3d,General purpose,8,32,0,0,,Genoa,0,0,,20,,1
c3d-standard-16,c3d,General purpose,16,64,0,0,,Genoa,0,0,,20,,1
c3d-standard-30,c3d,General purpose,30,120,0,0,,Genoa,0,0,,20,50,1
c3d-standard-60,c3d,General purpose,60,240,0,0,,Genoa,0,0,,40,75,1
c3d-standard-90,c3d,General purpose,90,360,0,0,,Genoa,0,0,,60,100,1
c3d-standard-180,c3d,General purpose,180,720,0,0,,Genoa,0,0,,100,150,1
c3d-standard-360,c3d,General purpose,360,1440,0,0,,Genoa,0,0,,100,200,1
c3d-highcpu-4,c3d,General purpose,4,8,0,0,,Genoa,0,0,,20,,1
c3d-highcpu-8,c3d,General purpose,8,16,0,0,,Genoa,0,0,,20,,1
c3d-highcpu-16,c3d,General purpose,16,32,0,0,,Genoa,0,0,,20,,1
c3d-highcpu-30,c3d,General purpose,30,59,0,0,,Genoa,0,0,,20,50,1
c3d-highcpu-60,c3d,General purpose,60,118,0,0,,Genoa,0,0,,40,75,1
c3d-highcpu-90,c3d,General purpose,90,177,0,0,,Genoa,0,0,,60,100,1
c3d-highcpu-180,c3d,General purpose,180,354,0,0,,Genoa,0,0,,100,150,1
c3d-highcpu-360,c3d,General purpose,360,708,0,0,,Genoa,0,0,,100,200,1
c3d-highmem-4,c3d,General purpose,4,32,0,0,,Genoa,0,0,,20,,1
c3d-highmem-8,c3d,General purpose,8,64,0,0,,Genoa,0,0,,20,,1
c3d-highmem-16,c3d,General purpose,16,128,0,0,,Genoa,0,0,,20,,1
c3d-highmem-30,c3d,General purpose,30,240,0,0,,Genoa,0,0,,20,50,1
c3d-highmem-60,c3d,General purpose,60,480,0,0,,Genoa,0,0,,40,75,1
c3d-highmem-90,c3d,General purpose,90,720,0,0,,Genoa,0,0,,60,100,1
c3d-highmem-180,c3d,General purpose,180,1440,0,0,,Genoa,0,0,,100,150,1
c3d-highmem-360,c3d,General purpose,360,2880,0,0,,Genoa,0,0,,100,200,1
c3d-standard-8-lssd,c3d,General purpose,8,32,1,0,,Genoa,0,0,,20,,1
c3d-standard-16-lssd,c3d,General purpose,16,64,1,0,,Genoa,0,0,,20,,1
c3d-standard-30-lssd,c3d,General purpose,30,120,1,0,,Genoa,0,0,,20,50,1
c3d-standard-60-lssd,c3d,General purpose,60,240,1,0,,Genoa,0,0,,40,75,1
c3d-standard-90-lssd,c3d,General purpose,90,360,1,0,,Genoa,0,0,,60,100,1
c3d-standard-180-lssd,c3d,General purpose,180,720,1,0,,Genoa,0,0,,100,150,1
c3d-standard-360-lssd,c3d,General purpose,360,1440,1,0,,Genoa,0,0,,100,200,1
c3d-highmem-8-lssd,c3d,General purpose,8,64,1,0,,Genoa,0,0,,20,,1
c3d-highmem-16-lssd,c3d,General purpose,16,128,1,0,,Genoa,0,0,,20,,1
c3d-highmem-30-lssd,c3d,General purpose,30,240,1,0,,Genoa,0,0,,20,50,1
c3d-highmem-60-lssd,c3d,General purpose,60,480,1,0,,Genoa,0,0,,40,75,1
c3d-highmem-90-lssd,c3d,General purpose,90,720,1,0,,Genoa,0,0,,60,100,1
c3d-highmem-180-lssd,c3d,General purpose,180,1440,1,0,,Genoa,0,0,,100,150,1
c3d-highmem-360-lssd,c3d,General purpose,360,2880,1,0,,Genoa,0,0,,100,200,1
c3-standard-4,c3,General purpose,4,16,0,0,,Sapphire Rapids,0,0,,23,,1
c3-standard-8,c3,General purpose,8,32,0,0,,Sapphire Rapids,0,0,,23,,1
c3-standard-22,c3,General purpose,22,88,0,0,,Sapphire Rapids,0,0,,23,,1
c3-standard-44,c3,General purpose,44,176,0,0,,Sapphire Rapids,0,0,,32,50,1
